"","DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GENDER_NAME","C_AGE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"300",2020,"Torbay","E06000027","Total","All Ages","Value",136218,"Normal Value"
"301",2020,"Wiltshire","E06000054","Total","All Ages","Value",504070,"Normal Value"
"302",2020,"East Devon","E07000040","Total","All Ages","Value",148080,"Normal Value"
"303",2020,"Exeter","E07000041","Total","All Ages","Value",133333,"Normal Value"
"304",2020,"Mid Devon","E07000042","Total","All Ages","Value",83290,"Normal Value"
"305",2020,"North Devon","E07000043","Total","All Ages","Value",98170,"Normal Value"
"306",2020,"South Hams","E07000044","Total","All Ages","Value",87946,"Normal Value"
"307",2020,"Teignbridge","E07000045","Total","All Ages","Value",135039,"Normal Value"
"308",2020,"Torridge","E07000046","Total","All Ages","Value",68719,"Normal Value"
"309",2020,"West Devon","E07000047","Total","All Ages","Value",56139,"Normal Value"
"310",2020,"Christchurch","E07000048","Total","All Ages","Value",50552,"Normal Value"
"311",2020,"East Dorset","E07000049","Total","All Ages","Value",91390,"Normal Value"
"312",2020,"North Dorset","E07000050","Total","All Ages","Value",70699,"Normal Value"
"313",2020,"Purbeck","E07000051","Total","All Ages","Value",47094,"Normal Value"
"314",2020,"West Dorset","E07000052","Total","All Ages","Value",104145,"Normal Value"
"315",2020,"Weymouth and Portland","E07000053","Total","All Ages","Value",66463,"Normal Value"
"316",2020,"Cheltenham","E07000078","Total","All Ages","Value",116043,"Normal Value"
"317",2020,"Cotswold","E07000079","Total","All Ages","Value",90264,"Normal Value"
"318",2020,"Forest of Dean","E07000080","Total","All Ages","Value",87107,"Normal Value"
"319",2020,"Gloucester","E07000081","Total","All Ages","Value",129709,"Normal Value"
"320",2020,"Stroud","E07000082","Total","All Ages","Value",120903,"Normal Value"
"321",2020,"Tewkesbury","E07000083","Total","All Ages","Value",96624,"Normal Value"
"322",2020,"Mendip","E07000187","Total","All Ages","Value",116288,"Normal Value"
"323",2020,"Sedgemoor","E07000188","Total","All Ages","Value",123446,"Normal Value"
"324",2020,"South Somerset","E07000189","Total","All Ages","Value",168696,"Normal Value"
"325",2020,"Taunton Deane","E07000190","Total","All Ages","Value",120416,"Normal Value"
"326",2020,"West Somerset","E07000191","Total","All Ages","Value",35005,"Normal Value"
